epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,14042.1,1.16432,0.64564,0.89961,0.76868,0.55959,0.6511,0.37849,1.36926,0.84541,0.97862,0.00031318,0.00031318,0.00031318
96,14192.6,1.15274,0.64622,0.8975,0.76193,0.56223,0.64347,0.37572,1.38295,0.86008,0.98917,0.000303665,0.000303665,0.000303665
97,14341.9,1.16723,0.65901,0.90819,0.77148,0.56398,0.65063,0.37777,1.37782,0.87212,0.98031,0.000294239,0.000294239,0.000294239
98,14490.1,1.13616,0.64221,0.90495,0.75898,0.56867,0.64814,0.37791,1.3527,0.87561,0.97108,0.000284906,0.000284906,0.000284906
99,14638.7,1.13803,0.63284,0.89492,0.75851,0.56867,0.64718,0.37814,1.35961,0.87777,0.96967,0.000275668,0.000275668,0.000275668
100,14785.1,1.15919,0.64962,0.89827,0.7459,0.57452,0.64747,0.37731,1.37505,0.86174,0.98396,0.000266532,0.000266532,0.000266532
101,14932.2,1.15228,0.64095,0.89251,0.75824,0.56398,0.64582,0.37482,1.391,0.87138,0.99449,0.0002575,0.0002575,0.0002575
102,15081.8,1.14218,0.63134,0.89519,0.74382,0.57306,0.6434,0.37475,1.38877,0.87815,0.98966,0.000248577,0.000248577,0.000248577
103,15233.2,1.13584,0.62527,0.89931,0.74703,0.5795,0.65178,0.37982,1.38107,0.86755,0.99011,0.000239766,0.000239766,0.000239766
104,15384.5,1.12416,0.62629,0.89031,0.75087,0.57189,0.65001,0.3777,1.38354,0.87345,0.99026,0.000231071,0.000231071,0.000231071
105,15535.4,1.14827,0.64177,0.88684,0.74539,0.57306,0.64975,0.37731,1.38292,0.87134,0.98979,0.000222497,0.000222497,0.000222497
106,15686.8,1.11492,0.62046,0.88864,0.75938,0.56741,0.65071,0.3777,1.37828,0.86411,0.99281,0.000214046,0.000214046,0.000214046
107,15836.9,1.1545,0.63332,0.90029,0.74026,0.57333,0.64999,0.37717,1.38221,0.87717,0.99311,0.000205723,0.000205723,0.000205723
108,15986.9,1.1394,0.62246,0.88251,0.72792,0.58067,0.64925,0.37771,1.37538,0.87466,0.99221,0.000197532,0.000197532,0.000197532
109,16135.3,1.10799,0.60851,0.88337,0.73344,0.58712,0.65382,0.37791,1.38292,0.88601,0.99606,0.000189475,0.000189475,0.000189475
110,16283.8,1.11247,0.60478,0.89042,0.74711,0.57874,0.65058,0.3764,1.38632,0.87165,0.99449,0.000181557,0.000181557,0.000181557
111,16432.6,1.12522,0.60602,0.8887,0.73807,0.57599,0.65009,0.37817,1.37819,0.89367,0.99262,0.00017378,0.00017378,0.00017378
112,16581.3,1.11635,0.61313,0.88752,0.76618,0.56369,0.65049,0.37788,1.38162,0.88552,0.99419,0.000166149,0.000166149,0.000166149
113,16732.7,1.13482,0.62511,0.89079,0.76272,0.56948,0.65073,0.37915,1.37652,0.87806,0.9922,0.000158667,0.000158667,0.000158667
114,16882.5,1.07961,0.61221,0.88512,0.76463,0.56222,0.65199,0.37764,1.37346,0.87483,0.9962,0.000151336,0.000151336,0.000151336
115,17033,1.10664,0.59204,0.88328,0.7628,0.56867,0.64953,0.37914,1.37155,0.88056,0.99164,0.000144161,0.000144161,0.000144161
116,17182.5,1.10661,0.60279,0.88691,0.74986,0.56837,0.64607,0.37775,1.3728,0.8816,0.99654,0.000137143,0.000137143,0.000137143
117,17332.6,1.08673,0.58479,0.88698,0.77267,0.55695,0.64914,0.37918,1.37723,0.87686,0.99876,0.000130287,0.000130287,0.000130287
118,17478,1.10628,0.60089,0.88169,0.74797,0.57097,0.64813,0.37758,1.36987,0.8715,0.99135,0.000123596,0.000123596,0.000123596
119,17623.3,1.08821,0.59575,0.88379,0.75731,0.57365,0.65089,0.37857,1.37194,0.87067,0.99483,0.000117072,0.000117072,0.000117072
120,17769.3,1.09152,0.60404,0.88952,0.76673,0.56593,0.64972,0.37768,1.37342,0.86992,0.99685,0.000110718,0.000110718,0.000110718
121,17915.8,1.08868,0.58486,0.88713,0.76345,0.5672,0.65081,0.37775,1.37699,0.8783,1.00048,0.000104537,0.000104537,0.000104537
122,18061.4,1.09812,0.59314,0.87542,0.75044,0.57325,0.65014,0.37744,1.38503,0.88539,1.00282,9.85311e-05,9.85311e-05,9.85311e-05
123,18202,1.09303,0.59437,0.88009,0.75619,0.57277,0.65137,0.37886,1.38304,0.89484,1.00326,9.2704e-05,9.2704e-05,9.2704e-05
124,18352.8,1.08715,0.5899,0.88131,0.76233,0.56428,0.64992,0.37868,1.37711,0.88312,1.00132,8.70577e-05,8.70577e-05,8.70577e-05
125,18506.4,1.06285,0.57447,0.88027,0.75232,0.56867,0.64736,0.37773,1.37375,0.88897,1.00109,8.15947e-05,8.15947e-05,8.15947e-05
126,18658.3,1.081,0.5853,0.88156,0.77156,0.56135,0.64936,0.37806,1.37559,0.8861,1.00062,7.63174e-05,7.63174e-05,7.63174e-05
127,18805.4,1.08733,0.59136,0.87927,0.76472,0.56428,0.64832,0.37749,1.37363,0.89348,1.00037,7.12282e-05,7.12282e-05,7.12282e-05
128,18952.3,1.06782,0.57449,0.87298,0.75379,0.57018,0.64963,0.37712,1.37176,0.88977,1.00009,6.63292e-05,6.63292e-05,6.63292e-05
129,19099.3,1.06382,0.57474,0.86886,0.75148,0.57394,0.65085,0.37915,1.36848,0.88391,0.998,6.16227e-05,6.16227e-05,6.16227e-05
130,19246.5,1.06543,0.58779,0.8799,0.75417,0.57101,0.64907,0.37741,1.37209,0.87936,0.99947,5.71106e-05,5.71106e-05,5.71106e-05
131,19393.6,1.06835,0.58348,0.88143,0.76291,0.56691,0.64914,0.37812,1.36857,0.88133,0.99784,5.2795e-05,5.2795e-05,5.2795e-05
132,19540.1,1.08152,0.58366,0.87683,0.74577,0.56925,0.64973,0.37773,1.36766,0.87854,0.99796,4.86777e-05,4.86777e-05,4.86777e-05
133,19688,1.03336,0.55739,0.88162,0.77476,0.55701,0.64968,0.37759,1.36936,0.87793,0.99964,4.47606e-05,4.47606e-05,4.47606e-05
